no,nama,kalimat,tema_postingan,ponpes,sentiment_class,sentiment_score,aspek_manual,text_for_rnn
686,Harpiah M Nur,Masya Allah... Semoga lulus juga kasian anakku 🤲🤲🤲,Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,22.0,Umum,Masya Allah... Semoga lulus juga kasian anakku 🤲🤲🤲 Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri
687,Sappe Baras,Alhamdulillah🤲,Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,10.0,Umum,Alhamdulillah🤲 Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri
688,Sudirman Mann Seaman,Aamiin...🤲,Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,7.0,Umum,Aamiin...🤲 Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri
689,Salsabila Salsa,amiin,Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,5.0,Umum,amiin Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri
690,Idha Rahman,"Semoga anakku lulus,,, 🤲😇",Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,14.0,Umum,"Semoga anakku lulus,,, 🤲😇 Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri"
691,Umi Rafa Umi Rafa,Aamiin allahumma aamiin 🤲,Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,9.0,Umum,Aamiin allahumma aamiin 🤲 Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri
692,Erniwati Yusuf,"Senang melihat anak2 bahagia dengan kelulusannya, terimakasih pada semua pembimbing anak2 kami di pondok._x000D_
Maaf ustadzah mungkin bisa di lampirkan catatan kelulusan dan yg tidak lulus tapi di grup WA wali santri,terima kasih sebelumnya🙏🙏",Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,59.0,Umum,"Senang melihat anak2 bahagia dengan kelulusannya, terimakasih pada semua pembimbing anak2 kami di pondok._x000D_
Maaf ustadzah mungkin bisa di lampirkan catatan kelulusan dan yg tidak lulus tapi di grup WA wali santri,terima kasih sebelumnya🙏🙏 Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri"
693,Saripa Rahmi,"Alhamdulillah,",Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,10.0,Umum,"Alhamdulillah, Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri"
694,Ali Mullah,"Semuga di pondok beserta keluarga besar pondok selalu dalam lindungan Allah dan selalu senantiasa mendapat syafaat dr Rosulullah Nabi Muhammad S a w,",Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri,Ponpes Salafiyah Parappe,Positive,35.0,Umum,"Semuga di pondok beserta keluarga besar pondok selalu dalam lindungan Allah dan selalu senantiasa mendapat syafaat dr Rosulullah Nabi Muhammad S a w, Galeri Pengumuman Hasil ujian thobaqoh tahap II Madrasah Ihya Ulumiddin Putri"
695,Mastiah,Ya Allah semoga anak2 dimudahkan menjawab soal2 yang diberikan,Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin,Ponpes Salafiyah Parappe,Positive,28.0,Kegiatan Pondok,Ya Allah semoga anak2 dimudahkan menjawab soal2 yang diberikan Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin
696,Kapten Brkelas Kapten Berkeas,Masya allah,Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin,Ponpes Salafiyah Parappe,Positive,6.0,Kegiatan Pondok,Masya allah Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin
697,Wahida Yanta,"Ya Allah mudahkanlah untk mnjawab soal² ujian anak² kami,,, Aamiin 🤲🤲🤲",Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin,Ponpes Salafiyah Parappe,Positive,18.0,Kegiatan Pondok,"Ya Allah mudahkanlah untk mnjawab soal² ujian anak² kami,,, Aamiin 🤲🤲🤲 Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin"
698,Syahrul Calu,Masya Allah,Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin,Ponpes Salafiyah Parappe,Positive,6.0,Kegiatan Pondok,Masya Allah Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin
699,Erniwati,Semangat anak2 ku 🥰,Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin,Ponpes Salafiyah Parappe,Positive,9.0,Kegiatan Pondok,Semangat anak2 ku 🥰 Hari ke-2 Ujian Peralihan Thobaqoh tahap II Madrasah ihya Ulumiddin
700,Salviah Ali,Tetap semangat  nak,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,17.0,Kegiatan Pondok,Tetap semangat  nak Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
701,Nurliah Aco,Bismillah semoga Allah mudahkan dan lancarkan ujian lisannya,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,31.0,Kegiatan Pondok,Bismillah semoga Allah mudahkan dan lancarkan ujian lisannya Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
702,Amaliah Umar,Bismillah dimudahkan anakku 🤲🤲,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,21.0,Kegiatan Pondok,Bismillah dimudahkan anakku 🤲🤲 Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
703,Asnur Nur,Semangat q semua nak.insya Allah dimudahkan dan dilancarkan ujian lisan nya🤲🤲🤲,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,31.0,Kegiatan Pondok,Semangat q semua nak.insya Allah dimudahkan dan dilancarkan ujian lisan nya🤲🤲🤲 Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
704,Nispiah Idrus,Bismillah semoga dimudahkan dan dilancarkan smuanya nak 🤲🤲😇😇,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,25.0,Kegiatan Pondok,Bismillah semoga dimudahkan dan dilancarkan smuanya nak 🤲🤲😇😇 Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
705,Nurhilya Hikma,"Bismillah ya Allah🤲🤲🤲mudah"" an anakku bisa menjawab semuanya amin",Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,43.0,Kegiatan Pondok,"Bismillah ya Allah🤲🤲🤲mudah"" an anakku bisa menjawab semuanya amin Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin"
706,Saqila Mahira,"Masya Allah,,, semoga d mudahkan Nak🥰",Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,20.0,Kegiatan Pondok,"Masya Allah,,, semoga d mudahkan Nak🥰 Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin"
707,Sumarni Syamsul,Bismillahirrahmanirrahim ya  Allah mudahkanlah semua ujian tobaqoh nya anak2ku Aaaaaamin Allahumma Aaaaaamin🤲🤲🤲,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,23.0,Kegiatan Pondok,Bismillahirrahmanirrahim ya  Allah mudahkanlah semua ujian tobaqoh nya anak2ku Aaaaaamin Allahumma Aaaaaamin🤲🤲🤲 Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
708,Nurhaeja Taufan,Semoga dimudahkan dan  dilancarkan ujiannya🤲🤲🤲,Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,22.0,Kegiatan Pondok,Semoga dimudahkan dan  dilancarkan ujiannya🤲🤲🤲 Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin
709,Mastiah,"Mama disini mendoakanmu nak, agar semua dimudahkan",Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin,Ponpes Salafiyah Parappe,Positive,29.0,Kegiatan Pondok,"Mama disini mendoakanmu nak, agar semua dimudahkan Hari ke-2 pelaksanaan ujian peralihan thobaqoh tahap II “Ujian Lisan” mulai dari thobaqoh tajwid sampai Fathul Muin"
710,Erniwati Yusuf,"Assalamualaikum _x000D_
Sekedar masukkan ustadzah bisa barangkali hasil ujiannya anak2 di kirim ke grup WA wali santriwati,kami wali santriwati terutama saya pribadi ustadzah penasaran dengan hasil ujian anak kami._x000D_
Syukron ustadzah🙏🙏🙏",Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,34.0,Kegiatan Pondok,"Assalamualaikum _x000D_
Sekedar masukkan ustadzah bisa barangkali hasil ujiannya anak2 di kirim ke grup WA wali santriwati,kami wali santriwati terutama saya pribadi ustadzah penasaran dengan hasil ujian anak kami._x000D_
Syukron ustadzah🙏🙏🙏 Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”"
711,Sumarni Syamsul,Semoga di permudah semua ujian tobaqoh nya anak sholehaku Aaaaaamin🤲🤲🤲,Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,12.0,Kegiatan Pondok,Semoga di permudah semua ujian tobaqoh nya anak sholehaku Aaaaaamin🤲🤲🤲 Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”
712,Nurul,MaasyaAllah,Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,2.0,Kegiatan Pondok,MaasyaAllah Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”
713,NurulindahsariTahir,🖤,Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,2.0,Kegiatan Pondok,🖤 Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”
714,Dilah Akmal,Masyaallah semoga semuax dimudahkan.,Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,8.0,Kegiatan Pondok,Masyaallah semoga semuax dimudahkan. Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”
715,Amaliah Umar,Masya Allah anak shaliha 🥰 ademm liatnya,Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,13.0,Kegiatan Pondok,Masya Allah anak shaliha 🥰 ademm liatnya Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”
716,Nadira Rahman,Aaaaamin,Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”,Ponpes Salafiyah Parappe,Positive,2.0,Kegiatan Pondok,Aaaaamin Ujian peralihan thobaqoh tahap II madrasah ihya ulumiddin “ujian tulis”
717,Sumarni Syamsul,"Ya Allah mudahkanlah semua ujian tobaqoh anak santri PPAP, terutama kedua putri sholehaku ya Allah 🤲🤲🤲🤲",Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,24.0,Kegiatan Pondok,"Ya Allah mudahkanlah semua ujian tobaqoh anak santri PPAP, terutama kedua putri sholehaku ya Allah 🤲🤲🤲🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II"
718,Parimang Ismail,semoga semua santri lulus ujinx aamiin 🤲,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,9.0,Kegiatan Pondok,semoga semua santri lulus ujinx aamiin 🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II
719,Sudirman Mann Seaman,"Ya ALLAH semoga semua para santri n santriwati, bisa lolos di tobaqo selanjut nya (naik) ,terutama putri kami..Aamiin ya ALLAH🤲🤲🤲",Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,28.0,Kegiatan Pondok,"Ya ALLAH semoga semua para santri n santriwati, bisa lolos di tobaqo selanjut nya (naik) ,terutama putri kami..Aamiin ya ALLAH🤲🤲🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II"
720,Salsabila Salsa,amiin,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,1.0,Kegiatan Pondok,amiin Pelaksanaan Ujian peralihan Thobaqoh tahap II
721,Izza Ammar,Ya Allah mudahkanlah n lancarkanlah ujian yg di hadapi santri2 PPSP terkhusus putra n putri ku Aamiin YRA🤲🤲🤲,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,20.0,Kegiatan Pondok,Ya Allah mudahkanlah n lancarkanlah ujian yg di hadapi santri2 PPSP terkhusus putra n putri ku Aamiin YRA🤲🤲🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II
722,Darmi MamaSyukur,Aamiiiin ya Allah 🤲,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,6.0,Kegiatan Pondok,Aamiiiin ya Allah 🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II
723,Wirda DM,Ya Allah mudahkanlah anak anakku dlm menghadapi ujiannya. 🙏🙏🙏,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,18.0,Kegiatan Pondok,Ya Allah mudahkanlah anak anakku dlm menghadapi ujiannya. 🙏🙏🙏 Pelaksanaan Ujian peralihan Thobaqoh tahap II
724,Wirda DM,Amin yarabbal alamin.   🤲,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,7.0,Kegiatan Pondok,Amin yarabbal alamin.   🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II
725,Cici Cici,Aamiiin yaalllah🤲🤲,Pelaksanaan Ujian peralihan Thobaqoh tahap II,Ponpes Salafiyah Parappe,Positive,1.0,Kegiatan Pondok,Aamiiin yaalllah🤲🤲 Pelaksanaan Ujian peralihan Thobaqoh tahap II
726,Shanty Nursusanti,"Allahumma sholli ala Muhammad waala Ali Muhammad, semoga dengan berkah salawat anak2 Sholeh dimudahkan menaklukkan ujiannya dengan memuaskan😇","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,29.0,Lingkungan,"Allahumma sholli ala Muhammad waala Ali Muhammad, semoga dengan berkah salawat anak2 Sholeh dimudahkan menaklukkan ujiannya dengan memuaskan😇 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
727,Muhlis Umar,Smg seluruh santri diberikan kemudahan dlm menghadapinya,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,19.0,Lingkungan,"Smg seluruh santri diberikan kemudahan dlm menghadapinya Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
728,Nurhayati Ati,Alhamdulillah semoga di mudahkan dalam mengikuti ujian  ya Allah 🤲🤲🤲💪,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,30.0,Lingkungan,"Alhamdulillah semoga di mudahkan dalam mengikuti ujian  ya Allah 🤲🤲🤲💪 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
729,Beby Fatin Beby,Bismillah semoga ujian kali ini anakku lulus 😔🙏🏻,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,24.0,Lingkungan,"Bismillah semoga ujian kali ini anakku lulus 😔🙏🏻 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
730,Rajab Rajab,Alhamdulillah mudah2han naik lagi tinkatanx anak saya dstu 🙏🙏🤲🤲🤲,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,25.0,Lingkungan,"Alhamdulillah mudah2han naik lagi tinkatanx anak saya dstu 🙏🙏🤲🤲🤲 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
731,Parimang Ismail,semoga seluru santri di beri kemudahan dan kelulusan aamiin🤲,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,22.0,Lingkungan,"semoga seluru santri di beri kemudahan dan kelulusan aamiin🤲 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
732,Sappe Baras,"Semoga anak2 yang ikut ujian bisa lulus semua,Aamiin,Salam dari orang tua wali Astik Ayu Ananta dari Pasangkayu🙏","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,29.0,Lingkungan,"Semoga anak2 yang ikut ujian bisa lulus semua,Aamiin,Salam dari orang tua wali Astik Ayu Ananta dari Pasangkayu🙏 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
733,Hidayanti Arp,Semoga anak2 yg ikut ujian lulus semua ... Aamiin yra 🤲🥰,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,25.0,Lingkungan,"Semoga anak2 yg ikut ujian lulus semua ... Aamiin yra 🤲🥰 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
734,Hamsia,"ya, mudahkan dan lancarkanlah usaha anakku dlm menjalani ujian dan luluskanlah mereka semua,aamiin","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,37.0,Lingkungan,"ya, mudahkan dan lancarkanlah usaha anakku dlm menjalani ujian dan luluskanlah mereka semua,aamiin Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
735,Hamsia,ya allah,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,15.0,Lingkungan,"ya allah Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
736,Sudirman Mann Seaman,"Bismillahi Rohmanirrohim , semoga d mudah kan segala pelajaran nya, lulus dlm menjalani ujian nya Aamiin,_x000D_
Untuk putri Solehah ku..🤲🤲🤲","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,32.0,Lingkungan,"Bismillahi Rohmanirrohim , semoga d mudah kan segala pelajaran nya, lulus dlm menjalani ujian nya Aamiin,_x000D_
Untuk putri Solehah ku..🤲🤲🤲 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
737,Wahida Yanta,"Bismillah,, semoga ujian ini anakku Lulus Aamiinn","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,24.0,Lingkungan,"Bismillah,, semoga ujian ini anakku Lulus Aamiinn Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
738,Masliah Usman,Amiin,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,10.0,Lingkungan,"Amiin Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
739,Sumarni Syamsul,Semoga  semua santri di berikan kemudahan dan kelulusan dalam  mengikuti ujian Tobaqoh terutama untuk anak2ku Aaaaaamin🤲🤲🤲,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,23.0,Lingkungan,"Semoga  semua santri di berikan kemudahan dan kelulusan dalam  mengikuti ujian Tobaqoh terutama untuk anak2ku Aaaaaamin🤲🤲🤲 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
740,Mariyani Usman,Semoga di permudahkan semua usaha anak anak santri yg ikut ujian semua amin....amin... wali santri dari  Nizaska Cha Cha manding.🤲🤲🤲🤲🙏,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,43.0,Lingkungan,"Semoga di permudahkan semua usaha anak anak santri yg ikut ujian semua amin....amin... wali santri dari  Nizaska Cha Cha manding.🤲🤲🤲🤲🙏 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
741,Saqila Mahira,"Semoga seluruh santri diberikan kemudahan dalam ujian,🤲","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,21.0,Lingkungan,"Semoga seluruh santri diberikan kemudahan dalam ujian,🤲 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
742,Saripa Rahmi,Semogah  anakku lolos ke tingkat selanjutnya salam dari mambi,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,25.0,Lingkungan,"Semogah  anakku lolos ke tingkat selanjutnya salam dari mambi Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
743,Sahriani,Semoga seluruh santri diberikan kemudahan dalam ujian,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,21.0,Lingkungan,"Semoga seluruh santri diberikan kemudahan dalam ujian Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
744,Yusril,Semoga ujian thobaqohnya dimudahkan semuanya ya Allah 🤲🤲🤲,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,25.0,Lingkungan,"Semoga ujian thobaqohnya dimudahkan semuanya ya Allah 🤲🤲🤲 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
745,Syahrul Calu,Semoga santri diberikan kemudahan dalam ujian tersebut,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,21.0,Lingkungan,"Semoga santri diberikan kemudahan dalam ujian tersebut Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
746,Dilah Akmal,Bismillah semoga ujianx berjalan lancar🤲🤲🤲dan naik ketingkat selanjutx.,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,23.0,Lingkungan,"Bismillah semoga ujianx berjalan lancar🤲🤲🤲dan naik ketingkat selanjutx. Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
747,Wirda DM,Bismillah semoga anak anakku dimudahkan dan di lancarkan belajarnya .muda mudahan anak anakku lulus semua 🙏🙏🙏,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,54.0,Lingkungan,"Bismillah semoga anak anakku dimudahkan dan di lancarkan belajarnya .muda mudahan anak anakku lulus semua 🙏🙏🙏 Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
748,Salviah Ali,"Mudahkanlah Ya Allah anak2 santri dalam menghadapi ujian thobaqoh Aamiinn, semoga anaku lulus","Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,35.0,Lingkungan,"Mudahkanlah Ya Allah anak2 santri dalam menghadapi ujian thobaqoh Aamiinn, semoga anaku lulus Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
749,Zi Semangat,Berilah kelancaran dan kemudahan Ya Allah,"Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024",Ponpes Salafiyah Parappe,Positive,26.0,Lingkungan,"Berilah kelancaran dan kemudahan Ya Allah Sebentar lagi akan dilaksanakan Ujian Peralahan Thobaqoh tahap II, pada tanggal 5-7 November 2024"
